FID,planteaar,fritrumsprofil,wkb_geometry
trae_basis.47,2000,Ikke registreret,POINT (12.542146245140872 55.667705694424164)
trae_basis.48,1895,4.5 m,POINT (12.550166578578525 55.687680595789665)
trae_basis.49,1995,4.5 m,POINT (12.550108513846943 55.687822802559964)
trae_basis.50,1895,4.5 m,POINT (12.550324609447824 55.68762256930846)
trae_basis.51,2009,4.5 m,POINT (12.550950673387065 55.68750874747406)
trae_basis.52,1995,4.5 m,POINT (12.55113772542745 55.6874384025887)
trae_basis.53,1895,4.5 m,POINT (12.551294365539684 55.68725891810818)
trae_basis.54,1895,4.5 m,POINT (12.551472494470927 55.68719436302232)
trae_basis.55,1895,4.5 m,POINT (12.551650160596052 55.687129411979804)
trae_basis.56,1932,4.5 m,POINT (12.556078966451944 55.68343915363797)
trae_basis.58,1931,4.5 m,POINT (12.545197671611145 55.687777716283705)
trae_basis.59,1990,4.5 m,POINT (12.54742396659593 55.686544534949824)
trae_basis.60,1990,4.5 m,POINT (12.547433318149464 55.686595388631716)
trae_basis.61,1931,4.5 m,POINT (12.545457110462312 55.68680863016844)
trae_basis.62,1931,4.5 m,POINT (12.545463306713264 55.68690212852124)
trae_basis.63,1931,4.5 m,POINT (12.54540733207813 55.6872552142036)
trae_basis.64,1931,4.5 m,POINT (12.545277362157085 55.68760439061897)
trae_basis.71,1981,4.5 m,POINT (12.54940581874248 55.685219872597656)
trae_basis.72,1970,4.5 m,POINT (12.5371962118722 55.69050214944737)
trae_basis.65,,Ikke registreret,POINT (12.487251993243346 55.65164351000413)
trae_basis.66,2017,Ikke registreret,POINT (12.502819079613351 55.64944840031272)
trae_basis.67,2013,Ikke registreret,POINT (12.502353525247955 55.64998932048837)
trae_basis.68,1980,4.5 m,POINT (12.545444646660648 55.68636006731285)
trae_basis.69,1931,4.5 m,POINT (12.545467028999086 55.68662925351812)
trae_basis.70,1970,4.5 m,POINT (12.545449823730936 55.68698756476559)
trae_basis.73,,Ikke registreret,POINT (12.505111350674042 55.65951178020001)
trae_basis.74,2017,Ikke registreret,POINT (12.512556535353076 55.644246361378244)
trae_basis.75,1995,4.5 m,POINT (12.537686137150782 55.690258368669014)
trae_basis.76,2001,4.5 m,POINT (12.539043237755477 55.68945535447975)
trae_basis.77,2001,4.5 m,POINT (12.537928745534538 55.69012182786267)
trae_basis.78,1994,4.5 m,POINT (12.538173086036084 55.690007721123095)
trae_basis.79,2019,2.8 m,POINT (12.563995584371034 55.70834879537303)
trae_basis.80,1997,4.5 m,POINT (12.590452894090873 55.69532806951321)
trae_basis.88,2020,Ikke registreret,POINT (12.594414353119156 55.65100964113442)
trae_basis.81,1931,4.5 m,POINT (12.5452373328402 55.68769045914659)
trae_basis.82,1982,4.5 m,POINT (12.54515714770624 55.68786548293098)
trae_basis.83,2001,4.5 m,POINT (12.538267974177844 55.6899346637579)
trae_basis.84,2001,4.5 m,POINT (12.538407850179299 55.68985428930178)
trae_basis.85,2019,2.8 m,POINT (12.564005418282221 55.708322928392676)
trae_basis.86,2020,Ikke registreret,POINT (12.594421383121839 55.65102670992853)
trae_basis.87,2020,Ikke registreret,POINT (12.594444481090923 55.65101044297735)
trae_basis.89,2020,Ikke registreret,POINT (12.594406126697692 55.65099036027715)
trae_basis.90,2020,Ikke registreret,POINT (12.594445393445683 55.65102986809885)
trae_basis.91,1974,4.5 m,POINT (12.544790865536886 55.689408094023385)
trae_basis.92,1850,4.5 m,POINT (12.546270524324344 55.68908473043514)
trae_basis.93,1850,4.5 m,POINT (12.546178891180425 55.68911680715178)
trae_basis.94,1974,4.5 m,POINT (12.546408723791135 55.68580209715603)
trae_basis.95,1990,4.5 m,POINT (12.547284789731563 55.68587979747477)
trae_basis.96,1990,4.5 m,POINT (12.547290925283551 55.68591909696514)
trae_basis.97,1986,4.5 m,POINT (12.552998720761142 55.68494964788512)
trae_basis.98,1986,4.5 m,POINT (12.553048369903182 55.68492293844903)
trae_basis.99,2011,4.5 m,POINT (12.544595513320571 55.68708384746836)
trae_basis.100,2011,4.5 m,POINT (12.544579292509912 55.68708189929922)
trae_basis.101,1923,2.8 m,POINT (12.53858609290452 55.66447329782166)
trae_basis.102,1923,2.8 m,POINT (12.539367916395673 55.664350013330036)
trae_basis.103,1923,2.8 m,POINT (12.539909542111351 55.663870257566664)
trae_basis.104,1923,2.8 m,POINT (12.540018008554945 55.664248524083504)
trae_basis.112,2011,4.5 m,POINT (12.543844730109036 55.68742430568527)
trae_basis.105,1974,2.8 m,POINT (12.539581231053724 55.66512282568483)
trae_basis.106,1974,4.5 m,POINT (12.539791875757466 55.665078841662705)
trae_basis.107,1901,4.5 m,POINT (12.53973409001846 55.690545316880176)
trae_basis.108,2018,2.8 m,POINT (12.542898580484406 55.688002137485256)
trae_basis.109,,Ikke registreret,POINT (12.566391925405812 55.68266216177267)
trae_basis.110,2018,2.8 m,POINT (12.542830093378353 55.6880372317261)
trae_basis.111,2011,4.5 m,POINT (12.544580908453366 55.68707218456422)
trae_basis.113,1936,4.5 m,POINT (12.516984009174905 55.7097600225699)
trae_basis.114,1936,4.5 m,POINT (12.517000325018609 55.70987692452409)
trae_basis.115,1936,4.5 m,POINT (12.517029823242488 55.71006701343823)
trae_basis.116,1975,4.5 m,POINT (12.485460454619247 55.71207716812523)
trae_basis.117,1936,4.5 m,POINT (12.517047141744813 55.71017483014916)
trae_basis.118,1977,4.5 m,POINT (12.520471822404188 55.70371909787865)
trae_basis.119,1977,4.5 m,POINT (12.520515614694542 55.70381076679843)
trae_basis.120,1992,4.5 m,POINT (12.526546964816058 55.69753126544768)
trae_basis.130,,Ikke registreret,POINT (12.532767442179054 55.64978785925609)
trae_basis.121,1992,4.5 m,POINT (12.530207335469731 55.69912185477472)
trae_basis.122,2001,4.5 m,POINT (12.53042530827949 55.69927924575675)
trae_basis.123,2001,4.5 m,POINT (12.53064089021983 55.69943826000177)
trae_basis.124,2013,4.5 m,POINT (12.538536042421732 55.69128129572953)
trae_basis.125,2020,Ikke registreret,POINT (12.594464878356726 55.6511295009125)
trae_basis.126,1901,4.5 m,POINT (12.539545288581733 55.690824954179405)
trae_basis.127,1972,4.5 m,POINT (12.537581970411107 55.7008957071554)
trae_basis.128,1990,4.5 m,POINT (12.537499396336985 55.70134021622202)
trae_basis.129,1990,4.5 m,POINT (12.537468585528984 55.701431815949846)
trae_basis.131,,Ikke registreret,POINT (12.528990106633623 55.71822014184286)
trae_basis.132,,Ikke registreret,POINT (12.5289123912437 55.7182875647451)
trae_basis.133,,Ikke registreret,POINT (12.52899517869619 55.718433291218325)
trae_basis.134,,Ikke registreret,POINT (12.53274929593792 55.649656921562766)
trae_basis.135,1990,4.5 m,POINT (12.537572623256299 55.70145510383357)
trae_basis.136,1970,4.5 m,POINT (12.537635341302058 55.70131269061493)
trae_basis.137,1990,4.5 m,POINT (12.537716333199619 55.701436472006904)
